tier,block_id,scenario_id,model_condition,run_order,branch_order,event_family,difficulty,season,location_id,activation_step,horizon_intervals,horizon_hours,canonical_soc_kwh,stale_soc_kwh,soc_gap_signed_kwh,soc_gap_abs_kwh,soc_gap_direction,divergence_kwh,B_kwh,Wc_kwh,Ws_kwh,ED_kwh,B_avg_kw,Wc_avg_kw,Ws_avg_kw,ED_avg_kw,B_fraction_pairwise_max,ED_fraction_theoretical_max,B_per_soc_gap,ED_per_soc_gap,B_per_battery_capacity,ED_per_battery_capacity,terminal_alignment_kwh,mpc_alignment_kwh,soc_direction_net_energy_kwh,canonical_minus_stale_net_energy_kwh,block_span_seconds,C_duplicate_start_gap_seconds,S_duplicate_start_gap_seconds,mean_latency_seconds,alignment_power_violation_peak_kw,alignment_power_violation_energy_kwh,alignment_soc_lower_violation_peak_kwh,alignment_soc_lower_violation_sum_kwh_steps,alignment_soc_upper_violation_peak_kwh,alignment_soc_upper_violation_sum_kwh_steps,alignment_export_violation_peak_kw,alignment_export_violation_energy_kwh,alignment_terminal_absolute_error_kwh,alignment_violation_interval_count,alignment_total_violation_energy
F0,e2bv2f0_b8cb7de94c5b3b00907d,v2e2_01647af4ab413aad9430,deepseek_formal,0,C2-S2-C1-S1,power_limit_derating,hard,winter,sacramento,5,91,22.75,175.0,250.0,-75.0,75.0,canonical_lower,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.165585041046143,4.8044939041137695,2.254836082458496,2.0192475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F0,e2bv2f0_bdcdea7c8e40d95eb8f4,v2e2_599ab783e7af2d598059,qwen_flash,19,C1-S1-C2-S2,reserve_commitment_update,hard,spring,los_angeles,5,91,22.75,300.0,250.0,50.0,50.0,canonical_higher,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,5.891531944274902,3.2855520248413086,2.0634078979492188,1.4472420000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F0,e2bv2f0_bf5f4cc90ad08ad815dc,v2e2_7778cc641046e1b0a2cd,qwen_flash,21,S2-C1-S1-C2,forecast_revision,hard,autumn,san_diego,14,82,20.5,175.0,250.0,-75.0,75.0,canonical_lower,75.0,256.25,512.5,0.0,0.0,12.5,25.0,0.0,0.0,0.025,0.0,3.4166666666666665,0.0,0.5125,0.0,-269.73684210526653,-250.0,-256.25,-256.25,5.985613107681274,2.447593927383423,3.1418869495391846,1.47607225,0.0,0.0,-269.73684210526653,-11184.210526315816,0.0,0.0,0.0,0.0,-269.73684210526653,0.0,-11184.210526315816
F0,e2bv2f0_c0cf605fe84623c1d38d,v2e2_7b2e0628b0d7b7a4badd,deepseek_formal,22,S2-C1-S1-C2,power_limit_derating,medium,summer,fresno,4,92,23.0,350.0,250.0,100.0,100.0,canonical_higher,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,6.693585157394409,2.8518362045288086,2.903607130050659,1.63866725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F0,e2bv2f0_ca6db573b3e3a83d61ea,v2e2_07ecea8c63a586f9fa3b,qwen_flash,3,C2-S2-C1-S1,reserve_commitment_update,hard,spring,fresno,9,87,21.75,350.0,250.0,100.0,100.0,canonical_higher,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,6.822259187698364,3.7702090740203857,2.2836079597473145,1.6809035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F0,e2bv2f0_ecda0368068c6c42e61f,v2e2_28d9724eea09520d5cd7,deepseek_formal,14,S1-C2-S2-C1,reserve_commitment_update,medium,spring,los_angeles,6,90,22.5,175.0,250.0,-75.0,75.0,canonical_lower,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.348746061325073,3.297661781311035,3.425168037414551,1.56472275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F0,e2bv2f0_ef3291d9c117a649cf07,v2e2_12b72852882928644d40,qwen_flash,5,C2-S2-C1-S1,forecast_revision,easy,winter,los_angeles,10,86,21.5,300.0,250.0,50.0,50.0,canonical_higher,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,5.3992919921875,2.8079659938812256,2.120584011077881,1.3255192500000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F0,e2bv2f0_ef4b0536aeee7f77bc8c,v2e2_7f938d120000eec26457,qwen_flash,25,S1-C2-S2-C1,battery_capacity_derating,easy,summer,los_angeles,8,88,22.0,175.0,250.0,-75.0,75.0,canonical_lower,75.0,1250.0,2500.0,0.0,0.0,56.81818181818182,113.63636363636364,0.0,0.0,0.11363636363636363,0.0,16.666666666666668,0.0,2.5,0.0,1251.6447368421086,263.1578947368416,1250.0,1250.0,5.335896015167236,2.1352150440216064,2.7182281017303467,1.3112185,0.0,0.0,1251.6447368421086,38175.16447368424,0.0,0.0,0.0,5.420700124999996,1251.6447368421086,0.0,38180.5851738092
F0,e2bv2f0_fa3f8fd8388973c136f6,v2e2_c9b994f593c92dd9efa9,deepseek_formal,28,S1-C2-S2-C1,power_limit_derating,hard,autumn,san_diego,5,91,22.75,200.0,250.0,-50.0,50.0,canonical_lower,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.555746078491211,2.017256021499634,2.6476449966430664,1.112749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F0,e2bv2f0_fa6a0707cfded0c748ad,v2e2_1fd8536d13787e44dc17,qwen_flash,11,C2-S2-C1-S1,battery_capacity_derating,easy,spring,fresno,6,90,22.5,350.0,250.0,100.0,100.0,canonical_higher,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,5.197129011154175,3.155762195587158,2.01346492767334,1.2769677499999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
