scenario_id,model_condition,block_id,branch,carrier,raw_action_digest,raw_action_energy_kwh,authoritative_raw_feasible,D_feasible_set_engineering_kwh,D_feasible_set_status,gate_battery_only_status,gate_battery_only_distance_kwh,gate_battery_only_distance_lower_bound_kwh,gate_battery_only_distance_optimality_gap_kwh,gate_battery_only_global_distance_optimality_proven,gate_battery_only_lp_overlap_intervals,gate_battery_only_selected_mode_source,gate_battery_only_throughput_kwh,gate_battery_only_cost_usd,gate_battery_only_curtailment_kwh,gate_battery_only_curtailment_price_term_usd,gate_battery_only_exact_retained_fraction,gate_battery_only_correlation,gate_battery_only_solve_seconds,gate_battery_only_regret_usd,gate_battery_only_regret_fraction_abs_opt,gate_expanded_system_status,gate_expanded_system_distance_kwh,gate_expanded_system_distance_lower_bound_kwh,gate_expanded_system_distance_optimality_gap_kwh,gate_expanded_system_global_distance_optimality_proven,gate_expanded_system_lp_overlap_intervals,gate_expanded_system_selected_mode_source,gate_expanded_system_throughput_kwh,gate_expanded_system_cost_usd,gate_expanded_system_curtailment_kwh,gate_expanded_system_curtailment_price_term_usd,gate_expanded_system_exact_retained_fraction,gate_expanded_system_correlation,gate_expanded_system_solve_seconds,gate_expanded_system_regret_usd,gate_expanded_system_regret_fraction_abs_opt,expanded_minus_battery_distance_kwh,expanded_distance_reduction_kwh
v2e2_1a991ca6b21c0ed79241,deepseek_formal,e2bv2_e2508c066e226a6c65b3,C1,canonical,e06e79cdfedfc6d6107b945613e65b2de3a209e40115b9b00ab048d2b91cd7d5,0.0,False,25.263257894736842,global_distance_optimum_lp_integral_distance_focus,global_distance_optimum_lp_integral,26.315889473684212,26.315789473684212,9.999999999976694e-05,True,0,lp_relaxation,26.315889473684212,358.3422228887643,0.0,0.0,0.975609756097561,,0.016436167003121227,3.2617901626471735,0.009186060007882997,global_distance_optimum_lp_integral,26.315889473684212,26.315789473684212,9.999999999976694e-05,True,0,lp_relaxation,26.315889473684212,358.3422228887643,0.0,0.0,0.975609756097561,,0.018267709005158395,3.2617901626471735,0.009186060007882997,0.0,0.0
v2e2_1a991ca6b21c0ed79241,deepseek_formal,e2bv2_e2508c066e226a6c65b3,C2,canonical,e06e79cdfedfc6d6107b945613e65b2de3a209e40115b9b00ab048d2b91cd7d5,0.0,False,25.263257894736842,global_distance_optimum_lp_integral_distance_focus,global_distance_optimum_lp_integral,26.315889473684212,26.315789473684212,9.999999999976694e-05,True,0,lp_relaxation,26.315889473684212,358.3422228887643,0.0,0.0,0.975609756097561,,0.016436167003121227,3.2617901626471735,0.009186060007882997,global_distance_optimum_lp_integral,26.315889473684212,26.315789473684212,9.999999999976694e-05,True,0,lp_relaxation,26.315889473684212,358.3422228887643,0.0,0.0,0.975609756097561,,0.018267709005158395,3.2617901626471735,0.009186060007882997,0.0,0.0
v2e2_1a991ca6b21c0ed79241,deepseek_formal,e2bv2_e2508c066e226a6c65b3,S1,stale,e06e79cdfedfc6d6107b945613e65b2de3a209e40115b9b00ab048d2b91cd7d5,0.0,False,25.263257894736842,global_distance_optimum_lp_integral_distance_focus,global_distance_optimum_lp_integral,26.315889473684212,26.315789473684212,9.999999999976694e-05,True,0,lp_relaxation,26.315889473684212,358.3422228887643,0.0,0.0,0.975609756097561,,0.016436167003121227,3.2617901626471735,0.009186060007882997,global_distance_optimum_lp_integral,26.315889473684212,26.315789473684212,9.999999999976694e-05,True,0,lp_relaxation,26.315889473684212,358.3422228887643,0.0,0.0,0.975609756097561,,0.018267709005158395,3.2617901626471735,0.009186060007882997,0.0,0.0
v2e2_1a991ca6b21c0ed79241,deepseek_formal,e2bv2_e2508c066e226a6c65b3,S2,stale,e06e79cdfedfc6d6107b945613e65b2de3a209e40115b9b00ab048d2b91cd7d5,0.0,False,25.263257894736842,global_distance_optimum_lp_integral_distance_focus,global_distance_optimum_lp_integral,26.315889473684212,26.315789473684212,9.999999999976694e-05,True,0,lp_relaxation,26.315889473684212,358.3422228887643,0.0,0.0,0.975609756097561,,0.016436167003121227,3.2617901626471735,0.009186060007882997,global_distance_optimum_lp_integral,26.315889473684212,26.315789473684212,9.999999999976694e-05,True,0,lp_relaxation,26.315889473684212,358.3422228887643,0.0,0.0,0.975609756097561,,0.018267709005158395,3.2617901626471735,0.009186060007882997,0.0,0.0
v2e2_1fd8536d13787e44dc17,deepseek_formal,e2bv2_90a214c9f95f65c0e06e,C1,canonical,fe2f74a1e0b16a66452888eb4d734bc455cf1304481bb495d59afa8cf9cae93b,0.0,False,22.8001,feasible_mode_library_upper_bound_distance_focus,feasible_mode_library_upper_bound,23.7501,0.0,23.7501,False,8,raw_sign_with_mpc_zero_anchor,23.7501,285.2203958101474,0.0,0.0,0.9777777777777777,,0.022685625008307397,9.032793918023629,0.032705283858294805,feasible_mode_library_upper_bound,23.7501,0.0,23.7501,False,8,raw_sign_with_mpc_zero_anchor,23.7501,283.46061772396496,367.38582175,-1.7597780861824999,0.9777777777777777,,0.02254837501095608,9.032793918023685,0.032915007642997346,0.0,0.0
v2e2_1fd8536d13787e44dc17,deepseek_formal,e2bv2_90a214c9f95f65c0e06e,C2,canonical,fe2f74a1e0b16a66452888eb4d734bc455cf1304481bb495d59afa8cf9cae93b,0.0,False,22.8001,feasible_mode_library_upper_bound_distance_focus,feasible_mode_library_upper_bound,23.7501,0.0,23.7501,False,8,raw_sign_with_mpc_zero_anchor,23.7501,285.2203958101474,0.0,0.0,0.9777777777777777,,0.022685625008307397,9.032793918023629,0.032705283858294805,feasible_mode_library_upper_bound,23.7501,0.0,23.7501,False,8,raw_sign_with_mpc_zero_anchor,23.7501,283.46061772396496,367.38582175,-1.7597780861824999,0.9777777777777777,,0.02254837501095608,9.032793918023685,0.032915007642997346,0.0,0.0
v2e2_1fd8536d13787e44dc17,deepseek_formal,e2bv2_90a214c9f95f65c0e06e,S1,stale,fe2f74a1e0b16a66452888eb4d734bc455cf1304481bb495d59afa8cf9cae93b,0.0,False,22.8001,feasible_mode_library_upper_bound_distance_focus,feasible_mode_library_upper_bound,23.7501,0.0,23.7501,False,8,raw_sign_with_mpc_zero_anchor,23.7501,285.2203958101474,0.0,0.0,0.9777777777777777,,0.022685625008307397,9.032793918023629,0.032705283858294805,feasible_mode_library_upper_bound,23.7501,0.0,23.7501,False,8,raw_sign_with_mpc_zero_anchor,23.7501,283.46061772396496,367.38582175,-1.7597780861824999,0.9777777777777777,,0.02254837501095608,9.032793918023685,0.032915007642997346,0.0,0.0
v2e2_1fd8536d13787e44dc17,deepseek_formal,e2bv2_90a214c9f95f65c0e06e,S2,stale,fe2f74a1e0b16a66452888eb4d734bc455cf1304481bb495d59afa8cf9cae93b,0.0,False,22.8001,feasible_mode_library_upper_bound_distance_focus,feasible_mode_library_upper_bound,23.7501,0.0,23.7501,False,8,raw_sign_with_mpc_zero_anchor,23.7501,285.2203958101474,0.0,0.0,0.9777777777777777,,0.022685625008307397,9.032793918023629,0.032705283858294805,feasible_mode_library_upper_bound,23.7501,0.0,23.7501,False,8,raw_sign_with_mpc_zero_anchor,23.7501,283.46061772396496,367.38582175,-1.7597780861824999,0.9777777777777777,,0.02254837501095608,9.032793918023685,0.032915007642997346,0.0,0.0
v2e2_20534de655a33fde87ca,deepseek_formal,e2bv2_1a5a7a43da5111b0cfaa,C1,canonical,c6c9b8650bdf333e657353246bc6f5b02f61950d8990935e2f0e38a63197c80c,0.0,False,183.1579947368421,global_distance_optimum_lp_integral_distance_focus,global_distance_optimum_lp_integral,184.21062631578948,184.21052631578948,0.00010000000000331966,True,0,lp_relaxation,184.21062631578948,299.270759815251,0.0,0.0,0.9565217391304348,,0.019391832989640534,6.42044531649924,0.021923982999603735,global_distance_optimum_lp_integral,184.21062631578948,184.21052631578948,0.00010000000000331966,True,0,lp_relaxation,184.21062631578948,299.270759815251,0.0,0.0,0.9565217391304348,,0.019123791018500924,6.42044531649924,0.021923982999603735,0.0,0.0
v2e2_20534de655a33fde87ca,deepseek_formal,e2bv2_1a5a7a43da5111b0cfaa,C2,canonical,c6c9b8650bdf333e657353246bc6f5b02f61950d8990935e2f0e38a63197c80c,0.0,False,183.1579947368421,global_distance_optimum_lp_integral_distance_focus,global_distance_optimum_lp_integral,184.21062631578948,184.21052631578948,0.00010000000000331966,True,0,lp_relaxation,184.21062631578948,299.270759815251,0.0,0.0,0.9565217391304348,,0.019391832989640534,6.42044531649924,0.021923982999603735,global_distance_optimum_lp_integral,184.21062631578948,184.21052631578948,0.00010000000000331966,True,0,lp_relaxation,184.21062631578948,299.270759815251,0.0,0.0,0.9565217391304348,,0.019123791018500924,6.42044531649924,0.021923982999603735,0.0,0.0
