model_condition,stratum,level,metric,n,mean,std,median,min,p10,p25,p75,p90,p95,max,positive,zero,negative,trimmed_mean_10pct,trimmed_mean_20pct,mean_drop_largest_1,mean_drop_largest_abs_1,mean_drop_largest_2,mean_drop_largest_abs_2,mean_drop_largest_5,mean_drop_largest_abs_5
deepseek_formal,divergence_kwh,100.0,ED_avg_kw,20,18.314049493764664,81.64125401995791,0.0,0.0,0.0,0.0,0.0,0.5508054945054943,18.793276966292392,365.1685393258427,3,17,0,0.03434065934065933,0.0,0.058550028918449945,0.058550028918449945,0.030525030525030514,0.030525030525030514,0.0,0.0
deepseek_formal,divergence_kwh,100.0,ED_per_soc_gap,20,4.075013375,18.16514756747973,0.0,0.0,0.0,0.0,0.0,0.12502674999999996,4.181504125000057,81.25,3,17,0,0.007812499999999997,0.0,0.013171973684210522,0.013171973684210522,0.006944444444444442,0.006944444444444442,0.0,0.0
deepseek_formal,divergence_kwh,100.0,soc_direction_net_energy_kwh,20,203.9071712875,908.2206919731913,0.0,-0.0,0.0,0.0,0.0,6.251842574999999,209.0800044625029,4062.5,4,16,0,0.5859374999999999,0.0,0.823338197368421,0.823338197368421,0.5208333333333333,0.5208333333333333,0.0,0.0
deepseek_formal,divergence_kwh,100.0,terminal_alignment_kwh,20,-16.75067496052602,78.81501141795331,0.0,-351.4802631578932,0.0,0.0,0.0,3.618421052632498,6.579917144739315,6.598342894737925,3,16,1,0.2055921052632037,0.0,-17.97957063711886,0.8666717867038307,-19.343932748537885,0.5482456140352698,-23.432017543859548,0.0
deepseek_formal,divergence_kwh,100.0,alignment_total_violation_energy,20,1255.2713815789507,5613.744278841221,0.0,0.0,0.0,0.0,0.0,0.0,1255.2713815789684,25105.427631579012,1,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deepseek_formal,soc_gap_direction,canonical_higher,ED_kwh,23,490.2185543478261,2345.5527150124253,0.0,0.0,0.0,0.0,0.0,10.000000000000007,12.524074999999996,11250.0,3,20,0,0.6578947368421051,0.0,1.1375795454545452,1.1375795454545452,0.5952380952380951,0.5952380952380951,0.0,0.0
deepseek_formal,soc_gap_direction,canonical_higher,ED_avg_kw,23,21.787497849976113,104.24678596003983,0.0,0.0,0.0,0.0,0.0,0.43956043956043983,0.5616450549450548,500.0,3,20,0,0.02891844997108154,0.0,0.05056593406593404,0.05056593406593404,0.026164311878597586,0.026164311878597586,0.0,0.0
deepseek_formal,soc_gap_direction,canonical_higher,ED_per_soc_gap,23,9.793489891304349,46.913384937840355,0.0,0.0,0.0,0.0,0.0,0.10000000000000006,0.12524074999999998,225.0,3,20,0,0.0065789473684210505,0.0,0.011375795454545451,0.011375795454545451,0.00595238095238095,0.00595238095238095,0.0,0.0
deepseek_formal,soc_gap_direction,canonical_higher,soc_direction_net_energy_kwh,23,-243.8850684456522,1173.0433381368498,0.0,-5625.0,0.0,-0.0,-0.0,2.5000000000000018,5.937499999999994,6.2684257500000005,3,19,1,0.1644736842105263,0.0,-255.2556818181818,0.7110648068181817,-267.7083333333333,0.44642857142857134,-312.5,0.0
deepseek_formal,soc_gap_direction,canonical_higher,terminal_alignment_kwh,23,258.1530171967968,1234.4703199904839,0.0,0.0,0.0,0.0,0.0,5.921052631581133,6.596403342106493,5921.052631578953,4,19,0,0.5193905817176241,0.0,0.7484892703351265,0.7484892703351265,0.46992481203023134,0.46992481203023134,0.0,0.0
