model_condition,stratum,level,metric,n,mean,std,median,min,p10,p25,p75,p90,p95,max,positive,zero,negative,trimmed_mean_10pct,trimmed_mean_20pct,mean_drop_largest_1,mean_drop_largest_abs_1,mean_drop_largest_2,mean_drop_largest_abs_2,mean_drop_largest_5,mean_drop_largest_abs_5
qwen37_plus_direct,difficulty,hard,ED_per_soc_gap,18,18.87843268888889,49.389490083448095,0.9938700000000011,-2.3733333333333335,-0.4755799999999959,0.0,10.455832933333332,32.88144000000004,91.95482999999983,204.75,9,6,3,8.589695108333336,4.225476811111111,7.944811082352944,7.944811082352942,3.9382492750000004,3.938249275000001,1.7454491076923089,1.7454491076923093
qwen37_plus_direct,difficulty,hard,soc_direction_net_energy_kwh,18,835.2617295833331,1899.163799448997,311.76377249999996,-2853.228750000001,-558.1663374999998,60.718721875000014,1366.0881249999995,3504.9405,3969.0272499999983,5118.75,14,0,4,798.0743676562499,614.9535422916666,583.2918313235292,583.2918313235293,384.3641332812498,384.36413328124985,-100.31568211538469,234.6676832692307
qwen37_plus_direct,difficulty,hard,terminal_alignment_kwh,18,187.30731981981032,1864.8500640419743,-25.032482187499767,-3511.5533289473656,-1749.1351187500004,-76.94227905920886,223.39164875000003,2442.246710526316,2826.8318256578914,4862.8125,9,0,9,126.2670366064969,97.41543998190816,-87.7223966613773,-87.72239666137739,-247.4263663540292,126.2670366064969,-625.2838890703437,-12.931343862854078
qwen37_plus_direct,difficulty,hard,alignment_total_violation_energy,18,10282.31464690351,80731.93915243246,9.469062500001343,-147377.74372368425,-72589.2759375,-119.9318332499989,8548.748437499993,104999.70986842108,126881.83593749984,220664.0625,9,3,6,6987.20905424671,5593.610413885964,-2093.0822856315817,-2093.0822856315817,-9119.651881608555,6987.2090542467095,-24384.089486878544,917.7665839716581
qwen37_plus_direct,difficulty,medium,ED_kwh,21,1025.7978,2348.1578176390644,125.0150000000001,-5.1875,-0.09889999999990096,0.0,674.8200000000004,1370.9977999999999,6821.009999999998,8970.0065,14,4,3,338.8485823529413,238.67592307692317,628.5873650000001,628.587365,302.6703842105264,302.6703842105264,131.54621875000007,131.54621875000007
qwen37_plus_direct,difficulty,medium,ED_avg_kw,21,45.27837248677249,103.60247084921612,5.556222222222226,-0.25,-0.0042999999999956936,0.0,29.340000000000018,59.608599999999996,303.15599999999995,394.286,14,4,3,14.932324836601312,10.591170940170942,27.827991111111118,27.82799111111111,13.337043274853805,13.337043274853805,5.8622013888888915,5.8622013888888915
qwen37_plus_direct,difficulty,medium,ED_per_soc_gap,21,12.44416538095238,26.48618184774693,2.500300000000002,-0.10375,-0.001318666666665346,0.0,9.463960000000009,19.7652,89.700065,90.94679999999998,14,4,3,4.755551333333335,3.6438856410256433,8.51903365,8.51903365,4.246347789473686,4.246347789473686,2.146126875000001,2.146126875000001
qwen37_plus_direct,difficulty,medium,soc_direction_net_energy_kwh,21,669.2092785714284,1258.9354116927007,169.21625,-494.13,-156.35375000000008,-0.09544999999998183,685.4988999999999,2047.5,3412.4849999999988,4517.501624999998,14,1,6,399.5084985294118,255.1237480769231,476.79466125,476.7946612499999,322.28464342105264,322.28464342105264,90.52867031250001,90.52867031250001
qwen37_plus_direct,difficulty,medium,terminal_alignment_kwh,21,-533.6268357518791,1160.2258822124556,-65.22249999999946,-4003.3734562500003,-1945.125,-232.58237499999933,21.397312500000908,148.53606250000195,165.40093750000028,233.7265625,8,1,12,-256.47393203173334,-91.04813321356247,-571.9945056644731,-360.1395047269731,-610.8047921468138,-208.46996550207717,-743.4008726891441,-5.445738721216593
qwen37_plus_direct,difficulty,medium,alignment_total_violation_energy,21,-21629.46436491854,48844.66786567771,-70.51499999999294,-168105.0,-84473.75,-3343.8307500000074,435.84374999997783,3386.1712500000026,3683.59375,5191.618148092127,8,2,11,-9378.505726772442,-1730.8409032793493,-22970.518490569073,-14305.687583164468,-24373.3665032306,-7924.178181949443,-29424.506740164466,555.8320741694124
