scenario_id,event_family,difficulty,model_condition,block_id,branch,objective_order,status,physical_cost_usd,distance_kwh,throughput_kwh,curtailment_kwh,retained_fraction,runtime_seconds,cost_optimum_usd,stage1_seconds,stage2_seconds
v2e2_12b72852882928644d40,forecast_revision,easy,qwen37_plus_direct,qwen37f1_f89f6500a768ca00cca8,C1,minimum_intervention_distance_only,feasible_mode_library_upper_bound_distance_focus,241.09575356810984,487.4828302631579,488.7965684547912,0.0,0.4883720930232558,0.015050999994855374,,,
v2e2_12b72852882928644d40,forecast_revision,easy,qwen37_plus_direct,qwen37f1_f89f6500a768ca00cca8,C1,direct_cost_optimal,optimal,237.39791990876975,951.9078947368421,476.9078947368421,0.0,0.0,0.015021291008451954,,,
v2e2_12b72852882928644d40,forecast_revision,easy,qwen37_plus_direct,qwen37f1_f89f6500a768ca00cca8,C1,cost_then_distance,optimal,237.39792090876978,938.087753842441,476.90789473684214,0.0,0.023255813953488372,0.05288550001569092,-1.6613447085526305,0.015332624985603616,0.03578008298063651
v2e2_12b72852882928644d40,forecast_revision,easy,qwen_flash,e2bv2_cd8a18111aa5daa36f7f,C1,distance_throughput_cost_saved,global_distance_optimum_lp_integral,239.97742193624376,5401.31579459852,26.315889473684212,0.0,0.0,0.020692499994765967,,,
v2e2_12b72852882928644d40,forecast_revision,easy,qwen_flash,e2bv2_cd8a18111aa5daa36f7f,C1,minimum_intervention_distance_only,global_distance_optimum_lp_integral_distance_focus,239.97742193624376,5401.31579459852,26.315889473684212,0.0,0.0,0.02087833298719488,,,
v2e2_12b72852882928644d40,forecast_revision,easy,qwen_flash,e2bv2_cd8a18111aa5daa36f7f,C1,direct_cost_optimal,optimal,237.39791990876975,5424.4078947368425,476.9078947368421,0.0,0.03488372093023256,0.015021291008451954,,,
v2e2_12b72852882928644d40,forecast_revision,easy,qwen_flash,e2bv2_cd8a18111aa5daa36f7f,C1,cost_then_distance,optimal,237.39792090876975,5424.407885364957,476.90771186493396,0.0,0.03488372093023256,0.027498917013872415,-1.6613447085526305,0.0148369160015136,0.010794333007652313
v2e2_68ad1227a66cd68252f6,power_limit_derating,easy,deepseek_formal,e2bv2_8e5894fd943a5544d909,C1,distance_throughput_cost_saved,global_distance_optimum_lp_integral,489.48749045991536,157.89473684210526,157.89473684210526,0.0,0.967391304347826,0.01943450001999736,,,
v2e2_68ad1227a66cd68252f6,power_limit_derating,easy,deepseek_formal,e2bv2_8e5894fd943a5544d909,C1,minimum_intervention_distance_only,global_distance_optimum_lp_integral_distance_focus,489.48749045991536,157.89473684210526,157.89473684210526,0.0,0.967391304347826,0.01960320901707746,,,
v2e2_68ad1227a66cd68252f6,power_limit_derating,easy,deepseek_formal,e2bv2_8e5894fd943a5544d909,C1,direct_cost_optimal,optimal,489.48749045991536,157.89473684210526,157.89473684210526,0.0,0.967391304347826,0.01077537500532344,,,
v2e2_68ad1227a66cd68252f6,power_limit_derating,easy,deepseek_formal,e2bv2_8e5894fd943a5544d909,C1,cost_then_distance,optimal,489.48749045991536,157.89473684210526,157.89473684210526,0.0,0.967391304347826,0.022410750010749325,10.852105263157895,0.010805583006003872,0.009538415994029492
v2e2_68ad1227a66cd68252f6,power_limit_derating,easy,qwen37_plus_direct,qwen37f1_1b7a51c9d887d40ffd14,C1,distance_throughput_cost_saved,feasible_mode_library_upper_bound,490.6379411691154,241.1553631578946,157.89473684210517,0.0,0.3804347826086957,0.01556404199800454,,,
v2e2_68ad1227a66cd68252f6,power_limit_derating,easy,qwen37_plus_direct,qwen37f1_1b7a51c9d887d40ffd14,C1,minimum_intervention_distance_only,feasible_mode_library_upper_bound_distance_focus,490.6379411691154,241.1553631578946,157.89473684210517,0.0,0.3804347826086957,0.01622499999939464,,,
v2e2_68ad1227a66cd68252f6,power_limit_derating,easy,qwen37_plus_direct,qwen37f1_1b7a51c9d887d40ffd14,C1,direct_cost_optimal,optimal,489.48749045991536,530.9197368421051,157.89473684210526,0.0,0.0,0.01077537500532344,,,
v2e2_68ad1227a66cd68252f6,power_limit_derating,easy,qwen37_plus_direct,qwen37f1_1b7a51c9d887d40ffd14,C1,cost_then_distance,optimal,489.48749145991525,522.2337911328317,157.89473684210526,0.0,0.010869565217391304,0.04456791700795293,10.852105263157895,0.01097462500911206,0.031787000014446676
v2e2_68ad1227a66cd68252f6,power_limit_derating,easy,qwen_flash,e2bv2_824b8d60fb00d509e601,C1,distance_throughput_cost_saved,global_distance_optimum_lp_integral,489.48749045991536,3607.894736842105,157.89473684210526,0.0,0.0,0.015290417009964585,,,
v2e2_68ad1227a66cd68252f6,power_limit_derating,easy,qwen_flash,e2bv2_824b8d60fb00d509e601,C1,minimum_intervention_distance_only,global_distance_optimum_lp_integral_distance_focus,489.48749045991536,3607.894736842105,157.89473684210526,0.0,0.0,0.015300375001970679,,,
v2e2_68ad1227a66cd68252f6,power_limit_derating,easy,qwen_flash,e2bv2_824b8d60fb00d509e601,C1,direct_cost_optimal,optimal,489.48749045991536,3607.894736842105,157.89473684210526,0.0,0.0,0.01077537500532344,,,
v2e2_68ad1227a66cd68252f6,power_limit_derating,easy,qwen_flash,e2bv2_824b8d60fb00d509e601,C1,cost_then_distance,optimal,489.48749045991536,3607.894736842105,157.89473684210526,0.0,0.0,0.02190758299548179,10.852105263157895,0.010523667006054893,0.009567833971232176
v2e2_4bc783ae8ece976241af,reserve_commitment_update,easy,deepseek_formal,e2bv2_7840ed7e07a5f5efde94,C1,distance_throughput_cost_saved,feasible_mode_library_upper_bound,270.18164150795224,23.7501,23.7501,0.0,0.9772727272727273,0.021987709013046697,,,
v2e2_4bc783ae8ece976241af,reserve_commitment_update,easy,deepseek_formal,e2bv2_7840ed7e07a5f5efde94,C1,minimum_intervention_distance_only,feasible_mode_library_upper_bound_distance_focus,270.18164150795224,23.7501,23.7501,0.0,0.9772727272727273,0.0218992080190219,,,
v2e2_4bc783ae8ece976241af,reserve_commitment_update,easy,deepseek_formal,e2bv2_7840ed7e07a5f5efde94,C1,direct_cost_optimal,optimal,265.50670848974346,456.3184210526316,456.3184210526316,0.0,0.9090909090909091,0.012362125009531155,,,
v2e2_4bc783ae8ece976241af,reserve_commitment_update,easy,deepseek_formal,e2bv2_7840ed7e07a5f5efde94,C1,cost_then_distance,optimal,265.5067094897435,456.31832852332275,456.31832852332275,0.0,0.9090909090909091,0.024150832992745563,-5.668660223947369,0.012482833000831306,0.009776207996765152
v2e2_4bc783ae8ece976241af,reserve_commitment_update,easy,qwen37_plus_direct,qwen37f1_d133068b1e8df25bb6a2,C1,distance_throughput_cost_saved,global_distance_optimum_lp_integral,270.18164150795224,526.2500051248358,23.750100000000035,0.0,0.03409090909090909,0.01580233301501721,,,
v2e2_4bc783ae8ece976241af,reserve_commitment_update,easy,qwen37_plus_direct,qwen37f1_d133068b1e8df25bb6a2,C1,minimum_intervention_distance_only,global_distance_optimum_lp_integral_distance_focus,270.18164150795224,526.2500051248358,23.750100000000035,0.0,0.03409090909090909,0.014106417016591877,,,
v2e2_4bc783ae8ece976241af,reserve_commitment_update,easy,qwen37_plus_direct,qwen37f1_d133068b1e8df25bb6a2,C1,direct_cost_optimal,optimal,265.50670848974346,956.3184210526316,456.3184210526316,0.0,0.0,0.012362125009531155,,,
v2e2_4bc783ae8ece976241af,reserve_commitment_update,easy,qwen37_plus_direct,qwen37f1_d133068b1e8df25bb6a2,C1,cost_then_distance,optimal,265.5067094897435,956.317818985736,456.3184210526316,0.0,0.0,0.0253043330158107,-5.668660223947369,0.012679790990659967,0.01055649999761954
v2e2_4bc783ae8ece976241af,reserve_commitment_update,easy,qwen_flash,e2bv2_fcedc993c5aeb0f830da,C1,distance_throughput_cost_saved,global_distance_optimum_lp_integral,270.18164150795224,5476.250005124835,23.7501,0.0,0.0,0.020910416991682723,,,
