scenario_id,event_family,difficulty,degradation_cost_per_kwh,terminal_tolerance_kwh,status,physical_cost_usd,throughput_kwh,runtime_seconds
v2e2_57ed2833756fcc2a81f4,export_limit_update,easy,0.008,0.0,optimal,1079.3809339989907,334.4078947368421,0.016679624997777864
v2e2_57ed2833756fcc2a81f4,export_limit_update,easy,0.008,1.0,optimal,1079.2986267042538,333.35526315789474,0.010869833000469953
v2e2_57ed2833756fcc2a81f4,export_limit_update,easy,0.02,0.0,optimal,1083.3938287358328,334.4078947368421,0.015996333997463807
v2e2_57ed2833756fcc2a81f4,export_limit_update,easy,0.02,1.0,optimal,1083.2988898621486,333.35526315789474,0.010636875027557835
v2e2_581afa30a65d6a5d08a5,export_limit_update,hard,0.0,0.0,optimal,241.93909607352396,1994.4982844764545,0.01569716600351967
v2e2_581afa30a65d6a5d08a5,export_limit_update,hard,0.0,1.0,optimal,241.93672746299762,1993.445652897507,0.019763207994401455
v2e2_581afa30a65d6a5d08a5,export_limit_update,hard,0.008,0.0,optimal,252.67807629787137,1000.0328947368422,0.014758290984900668
v2e2_581afa30a65d6a5d08a5,export_limit_update,hard,0.008,1.0,optimal,252.66728663471343,998.9802631578948,0.01567629200872034
v2e2_581afa30a65d6a5d08a5,export_limit_update,hard,0.02,0.0,optimal,259.08392245346346,524.4078947368421,0.013225624978076667
v2e2_581afa30a65d6a5d08a5,export_limit_update,hard,0.02,1.0,optimal,259.0605012113582,523.3552631578948,0.013473416998749599
v2e2_599ab783e7af2d598059,reserve_commitment_update,hard,0.0,0.0,optimal,327.37161541582526,1031.6368421052632,0.01396537502296269
v2e2_599ab783e7af2d598059,reserve_commitment_update,hard,0.0,1.0,optimal,327.34864894732533,1032.5868421052633,0.013685375015484169
v2e2_599ab783e7af2d598059,reserve_commitment_update,hard,0.008,0.0,optimal,331.49405336889106,153.4828947368421,0.015226417017402127
v2e2_599ab783e7af2d598059,reserve_commitment_update,hard,0.008,1.0,optimal,331.4653254320489,152.43026315789473,0.015351834008470178
v2e2_599ab783e7af2d598059,reserve_commitment_update,hard,0.02,0.0,optimal,332.8370513011016,26.315789473684212,0.01623845801805146
v2e2_599ab783e7af2d598059,reserve_commitment_update,hard,0.02,1.0,optimal,332.7956917853121,25.263157894736842,0.013341083016712219
v2e2_6044c2cf8efb739eb457,reserve_commitment_update,easy,0.0,0.0,optimal,698.9558343177483,799.7697368421052,0.015614041010849178
v2e2_6044c2cf8efb739eb457,reserve_commitment_update,easy,0.0,1.0,optimal,698.8712947392482,800.7197368421052,0.011191500001586974
v2e2_6044c2cf8efb739eb457,reserve_commitment_update,easy,0.008,0.0,optimal,705.0416963291825,756.7131578947369,0.015121832984732464
v2e2_6044c2cf8efb739eb457,reserve_commitment_update,easy,0.008,1.0,optimal,704.9502313607616,755.6605263157895,0.009312500013038516
v2e2_6044c2cf8efb739eb457,reserve_commitment_update,easy,0.02,0.0,optimal,707.6901788607615,23.75,0.009864207997452468
v2e2_6044c2cf8efb739eb457,reserve_commitment_update,easy,0.02,1.0,optimal,707.6060183607615,24.700000000000003,0.00977683300152421
v2e2_689fd81bd1f3eec1e27d,reserve_commitment_update,easy,0.0,0.0,optimal,362.883519585324,1423.5578947368422,0.013928375003160909
v2e2_689fd81bd1f3eec1e27d,reserve_commitment_update,easy,0.0,1.0,optimal,362.84824817532393,1424.5078947368422,0.01693599999998696
v2e2_689fd81bd1f3eec1e27d,reserve_commitment_update,easy,0.008,0.0,optimal,369.0569908204293,290.0684210526316,0.013338165997993201
v2e2_689fd81bd1f3eec1e27d,reserve_commitment_update,easy,0.008,1.0,optimal,369.0203339888504,289.0157894736842,0.018172375013818964
v2e2_689fd81bd1f3eec1e27d,reserve_commitment_update,easy,0.02,0.0,optimal,371.373542006324,157.89473684210526,0.012553500011563301
v2e2_689fd81bd1f3eec1e27d,reserve_commitment_update,easy,0.02,1.0,optimal,371.32425359579764,156.8421052631579,0.01723691599909216
