tier,scenario_id,block_id,model_condition,branch,gate_type,gate_status,battery_correction_l1_kwh,curtailment_introduced_kwh,sign_change_intervals,zero_to_active_intervals,post_gate_feasible,post_gate_cost_usd,runtime_seconds,rescue_mechanism,expanded_distance_reduction_kwh
F1,v2e2_16c288d882ac6a326385,e2bv2_a195292ce70a9bd164f5,deepseek_formal,C2,battery_only,global_distance_optimum_lp_integral,131.57904736842104,0.0,0,4,True,408.929348319955,0.01915174999157898,battery_action_and_mode_correction,0.0
F1,v2e2_16c288d882ac6a326385,e2bv2_a195292ce70a9bd164f5,deepseek_formal,C2,expanded_system,global_distance_optimum_lp_integral,131.57904736842104,0.0,0,4,True,408.929348319955,0.018356916989432648,battery_action_and_mode_correction,0.0
F1,v2e2_16c288d882ac6a326385,e2bv2_a195292ce70a9bd164f5,deepseek_formal,S1,battery_only,global_distance_optimum_lp_integral,131.57904736842104,0.0,0,4,True,408.929348319955,0.01915174999157898,battery_action_and_mode_correction,0.0
F1,v2e2_16c288d882ac6a326385,e2bv2_a195292ce70a9bd164f5,deepseek_formal,S1,expanded_system,global_distance_optimum_lp_integral,131.57904736842104,0.0,0,4,True,408.929348319955,0.018356916989432648,battery_action_and_mode_correction,0.0
F1,v2e2_16c288d882ac6a326385,e2bv2_a195292ce70a9bd164f5,deepseek_formal,S2,battery_only,global_distance_optimum_lp_integral,131.57904736842104,0.0,0,4,True,408.929348319955,0.01915174999157898,battery_action_and_mode_correction,0.0
F1,v2e2_16c288d882ac6a326385,e2bv2_a195292ce70a9bd164f5,deepseek_formal,S2,expanded_system,global_distance_optimum_lp_integral,131.57904736842104,0.0,0,4,True,408.929348319955,0.018356916989432648,battery_action_and_mode_correction,0.0
F1,v2e2_1a991ca6b21c0ed79241,e2bv2_e2508c066e226a6c65b3,deepseek_formal,C1,battery_only,global_distance_optimum_lp_integral,26.315889473684212,0.0,0,2,True,358.3422228887643,0.016436167003121227,battery_action_and_mode_correction,0.0
F1,v2e2_1a991ca6b21c0ed79241,e2bv2_e2508c066e226a6c65b3,deepseek_formal,C1,expanded_system,global_distance_optimum_lp_integral,26.315889473684212,0.0,0,2,True,358.3422228887643,0.018267709005158395,battery_action_and_mode_correction,0.0
F1,v2e2_1a991ca6b21c0ed79241,e2bv2_e2508c066e226a6c65b3,deepseek_formal,C2,battery_only,global_distance_optimum_lp_integral,26.315889473684212,0.0,0,2,True,358.3422228887643,0.016436167003121227,battery_action_and_mode_correction,0.0
F1,v2e2_1a991ca6b21c0ed79241,e2bv2_e2508c066e226a6c65b3,deepseek_formal,C2,expanded_system,global_distance_optimum_lp_integral,26.315889473684212,0.0,0,2,True,358.3422228887643,0.018267709005158395,battery_action_and_mode_correction,0.0
