scenario_id,event_family,registered_difficulty,horizon_steps,terminal_reachability_slack,initial_soc_lower_slack,initial_soc_upper_slack,passive_export_slack,aggregate_normalized_slack,diagnostic_difficulty,definition_status
v2e2_c577765fa5c45c1fea7a,battery_capacity_derating,medium,88,10.2,0.29411764705882354,0.7058823529411765,0.21569936112215982,0.21569936112215982,easy,post_hoc_provider_free_diagnostic_not_registered_admission_rule
v2e2_cd47662d04581b339960,power_limit_derating,medium,90,8.3,0.29411764705882354,0.7058823529411765,0.1342276775132683,0.1342276775132683,medium,post_hoc_provider_free_diagnostic_not_registered_admission_rule
v2e2_579d7046347071a2967e,battery_capacity_derating,easy,89,11.660526315789475,0.6470588235294118,0.35294117647058826,0.7033249661722086,0.35294117647058826,easy,post_hoc_provider_free_diagnostic_not_registered_admission_rule
v2e2_a7c71f5aa3db3e32fdd1,power_limit_derating,hard,92,7.455263157894738,0.6470588235294118,0.35294117647058826,0.2766726498885272,0.2766726498885272,easy,post_hoc_provider_free_diagnostic_not_registered_admission_rule
v2e2_d2a42e359dd264f920da,power_limit_derating,medium,91,8.345,0.23529411764705882,0.7647058823529411,0.19015672345225298,0.19015672345225298,medium,post_hoc_provider_free_diagnostic_not_registered_admission_rule
v2e2_1fd8536d13787e44dc17,battery_capacity_derating,easy,90,11.792105263157895,0.6470588235294118,0.35294117647058826,0.13982901658819097,0.13982901658819097,medium,post_hoc_provider_free_diagnostic_not_registered_admission_rule
v2e2_1a991ca6b21c0ed79241,forecast_revision,hard,82,9.6875,0.5294117647058824,0.47058823529411764,0.9495872879092914,0.47058823529411764,easy,post_hoc_provider_free_diagnostic_not_registered_admission_rule
v2e2_d6ba00286f170447ebbf,forecast_revision,hard,92,10.625,0.23529411764705882,0.7647058823529411,0.29709455890891656,0.23529411764705882,easy,post_hoc_provider_free_diagnostic_not_registered_admission_rule
v2e2_8e9a9550f230c7b3cff3,forecast_revision,medium,92,10.625,0.23529411764705882,0.7647058823529411,0.20871219538231878,0.20871219538231878,easy,post_hoc_provider_free_diagnostic_not_registered_admission_rule
v2e2_729fd4e9cb1879f64d23,forecast_revision,hard,82,9.4875,0.29411764705882354,0.7058823529411765,0.9457593630051377,0.29411764705882354,easy,post_hoc_provider_free_diagnostic_not_registered_admission_rule
v2e2_a015340abe1151fa1614,reserve_commitment_update,easy,82,9.4375,0.23529411764705882,0.7647058823529411,0.20866077652459214,0.20866077652459214,easy,post_hoc_provider_free_diagnostic_not_registered_admission_rule
v2e2_581afa30a65d6a5d08a5,export_limit_update,hard,90,11.792105263157895,0.6470588235294118,0.35294117647058826,0.15528292410481365,0.15528292410481365,medium,post_hoc_provider_free_diagnostic_not_registered_admission_rule
v2e2_a66e250328b3cef2064f,reserve_commitment_update,medium,91,11.923684210526316,0.6470588235294118,0.35294117647058826,0.06593073935363582,0.06593073935363582,medium,post_hoc_provider_free_diagnostic_not_registered_admission_rule
v2e2_47a354a03084871e0ca3,export_limit_update,medium,90,10.4375,0.29411764705882354,0.7058823529411765,0.09778229610408819,0.09778229610408819,medium,post_hoc_provider_free_diagnostic_not_registered_admission_rule
v2e2_eeaa2f40bad66efc8c57,power_limit_derating,easy,91,9.59175,0.17647058823529413,0.8235294117647058,0.07663915234089143,0.07663915234089143,medium,post_hoc_provider_free_diagnostic_not_registered_admission_rule
v2e2_16c288d882ac6a326385,battery_capacity_derating,easy,92,10.675,0.29411764705882354,0.7058823529411765,0.22224970014031628,0.22224970014031628,easy,post_hoc_provider_free_diagnostic_not_registered_admission_rule
